club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
150,real-betis-sevilla,344,ES1,26,29.0,13,50.0,10,Benito Villamarín,59378,€-10.25m,2022,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150,-10250000.0
167,fc-augsburg,150,L1,32,25.3,19,59.4,6,WWK ARENA,30660,€-4.65m,2022,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167,-4650000.0
2696,krylya-sovetov-samara,260,RU1,25,25.0,6,24.0,4,Solidarnost Samara Arena,42347,+€2.53m,2022,https://www.transfermarkt.co.uk/krylya-sovetov-samara/startseite/verein/2696,2530000.0
306,sc-heerenveen,371,NL1,26,24.6,12,46.2,2,Abe Lenstra Stadion,27224,+€4.95m,2022,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306,4950000.0
3725,akhmat-grozny,32,RU1,30,26.0,10,33.3,2,Akhmat-Arena,30200,€-4.40m,2022,https://www.transfermarkt.co.uk/akhmat-grozny/startseite/verein/3725,-4400000.0
44,hertha-bsc,235,L1,29,26.1,16,55.2,8,Olympiastadion Berlin,74667,+€16.20m,2022,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44,16200000.0
499,vitesse-arnheim,466,NL1,28,23.7,13,46.4,4,GelreDome,21248,€-1.20m,2022,https://www.transfermarkt.co.uk/vitesse-arnheim/startseite/verein/499,-1200000.0
5,ac-mailand,5,IT1,30,27.0,24,80.0,19,Giuseppe Meazza,75923,€-37.42m,2022,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5,-37420000.0
621,athletic-bilbao,52,ES1,25,27.8,1,4.0,4,San Mamés,53289,+-0,2022,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621,0.0
681,real-sociedad-san-sebastian,348,ES1,26,25.7,5,19.2,6,Reale Arena,39313,+€27.50m,2022,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681,27500000.0
714,espanyol-barcelona,333,ES1,27,26.0,7,25.9,5,RCDE Stadium,40500,€-5.80m,2022,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714,-5800000.0
724,fc-volendam,193,NL1,32,22.6,13,40.6,0,Kras Stadion,7384,+-0,2022,https://www.transfermarkt.co.uk/fc-volendam/startseite/verein/724,0.0
800,atalanta-bergamo,51,IT1,25,26.6,17,68.0,13,Gewiss Stadium,21747,+€6.35m,2022,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800,6350000.0
